domain,"in_TI_URLhaus"
"ty3.8c80.ru",true
"vj.w20s.ru",true
"123.9.44.171:39895",true
"175.166.8.68:57342",true
"yb.w20s.ru",true
"119.109.214.254:59328",true
"175.147.157.156:47164",true
"182.113.33.95:41561",true
"117.212.24.225:40793",true
"112.240.70.74:42559",true
"123.8.14.23:47709",true
"42.56.207.241:44943",true
"42.4.108.249:51137",true
"85.105.76.45:42419",true
"31.140.168.25:49249",true
"111.70.13.127:51971",true
"bw.w20s.ru",true
"p0.8c80.ru",true
"103.77.241.144",true
"115.58.95.195:56745",true
"123.4.178.105:40930",true
"182.119.9.34:33058",true
"113.231.210.47:37187",true
"182.116.68.189:57089",true
"ax.v96g.ru",true
"182.113.42.149:38845",true
"pastebin.com",true
"42.59.79.36:56427",true
"115.55.176.50:50022",true
"e.8c80.ru",true
"aa.v96g.ru",true
"github.com",true
"182.126.117.122:50166",true
"125.25.183.219:48299",true
"85.208.84.35",true
"85.208.84.90",true
"ep.v96g.ru",true
"200.59.88.216:35653",true
"bj.v96g.ru",true
"175.150.114.57:50273",true
"wz8.6n47.ru",true
"os.t65p.ru",true
"107.152.41.192",true
"196.251.73.162",true
"163.227.230.253",true
"202.155.95.62",true
"27.215.48.198:42371",true
"182.114.195.177:39984",true
"185.76.243.96",true
"176.65.148.114",true
"194.31.222.17",true
"117.254.103.29:34159",true
"s.cuckstudios.su",true
"h1.6n47.ru",true
"sm.t65p.ru",true
"bc.t65p.ru",true
"27.37.215.254:37596",true
"g.6s95.ru",true
"ex.t65p.ru",true
"222.127.239.103:60721",true
"k.6n47.ru",true
"61.52.211.144:48625",true
"27.215.214.69:44464",true
"aa9.6s95.ru",true
"eu.p93z.ru",true
"222.137.250.65:33132",true
"200.59.83.88:35653",true
"123.11.92.35:42473",true
"v2.6s95.ru",true
"gu.p93z.ru",true
"uc.p93z.ru",true
"42.87.168.210:54896",true
"219.157.26.58:39734",true
"123.5.147.135:37491",true
"124.95.253.230:48503",true
"yl.p93z.ru",true
"117.212.28.120:52802",true
"91.143.174.252:33099",true
"123.130.208.146:39072",true
"jt.n96f.ru",true
"bt7.8h66.ru",true
"58.42.184.245:49432",true
"yh.n96f.ru",true
"m3.8h66.ru",true
"42.59.198.25:34097",true
"113.228.140.61:41667",true
"117.199.77.239:60111",true
"77.83.240.93",true
"82.147.85.212",true
"115.48.150.124:39201",true
"112.198.186.67:50339",true
"144.172.97.34",true
"200.59.88.33:54002",true
"85.108.85.13:46265",true
"182.126.127.106:48029",true
"115.56.148.224:48135",true
"115.63.206.112:60785",true
"191.241.143.72:33201",true
"pg.n96f.ru",true
"115.55.221.108:55667",true
"115.59.2.172:60933",true
"z.8h66.ru",true
"60.17.78.231:49409",true
"wk.n96f.ru",true
"219.155.210.104:54215",true
"182.117.34.33:60899",true
"125.42.192.14:58302",true
"200.59.88.60:55229",true
"xq0.6k47.ru",true
"yc.n44s.ru",true
"ki.n44s.ru",true
"59.96.143.3:53432",true
"121.236.245.20:59814",true
"c5.6k47.ru",true
"af.n44s.ru",true
"221.202.101.186:55121",true
"115.53.242.51:57883",true
"59.96.140.139:40257",true
"ea.n44s.ru",true
"l.6k47.ru",true
"125.41.2.204:52600",true
"222.140.190.13:57692",true
"qm9.2p62.ru",true
"qq.m33h.ru",true
"120.238.189.72:47066",true
"116.52.127.15:45838",true
"mv.m33h.ru",true
"115.48.147.186:39835",true
"123.188.209.164:36278",true
"42.235.49.42:48365",true
"59.19.149.140:49370",true
"58.47.18.150:39276",true
"119.166.243.158:57877",true
"u1.2p62.ru",true
"hq.m33h.ru",true
"42.225.204.223:36050",true
"221.13.246.125:37966",true
"h.2p62.ru",true
"rg.m33h.ru",true
"bo.k25q.ru",true
"61.163.147.65:34999",true
"pz8.9n75.ru",true
"er.k25q.ru",true
"27.207.191.121:43837",true
"222.137.197.164:56265",true
"220.192.224.253:44652",true
"lq.k25q.ru",true
"w4.9n75.ru",true
"116.140.189.235:39927",true
"jb.k25q.ru",true
"d.9n75.ru",true
